ColumnType,Column_ID,FailOrPass,Name,Area,% Area,Height,Width,USP Resolution,Asym @ 10,Asym,USP Tailing,USP Plate Count,Width @ Baseline,Width @ Tangent (USP Resolution),Width @ 5%,Width @ 50%
Acquity Oligo BEH C18_100,AD0203,0,30T,27118,11.82,3288,56.6,10.102662,2.755974,103561.9183,2.333345,345781.023,0.943333,0.181512,0.371875,0.104953
Acquity Oligo BEH C18_100,AD0203,0,35T,27981,12.19,3343,49.4,8.015476,2.574247,112871.6446,2.300458,361530.1753,0.823333,0.187349,0.404351,0.10731
Acquity Oligo BEH C18_100,AD0254,0,15T,29509,22.03,2771,76.8,,1.138287,37128.1161,0.957227,100738.3502,1.28,0.216332,0.569431,0.124281
Acquity Oligo BEH C18_100,AD0254,0,20T,29312,21.89,2410,95.2,16.881942,1.336892,39243.76267,1.038244,141264.9025,1.586667,0.222067,0.690109,0.128113
Acquity Oligo BEH C18_100,AD0254,0,25T,25556,19.08,2088,99.8,12.204561,2.0764,40316.98884,1.214427,182643.1192,1.663333,0.22058,0.721236,0.127924
Acquity Oligo BEH C18_100,AD0254,0,30T,24000,17.92,2058,89.8,9.620563,2.086264,54587.67404,1.120745,224241.4375,1.496667,0.216846,0.752706,0.125284
Acquity Oligo BEH C18_100,AD0254,0,35T,25554,19.08,2077,118.2,7.4305,1.812333,59372.46423,1.183562,253619.3507,1.97,0.237394,0.787482,0.123785
Acquity Oligo BEH C18_100,AD0254,0,15T,32029,23.3,2917,81.2,,1.152843,33407.58594,0.971631,98993.47535,1.353333,0.218262,0.621962,0.125142
Acquity Oligo BEH C18_100,AD0254,0,20T,29581,21.52,2476,100.2,16.78888,1.659215,38723.46996,1.100185,141905.6436,1.67,0.221496,0.672933,0.127342
Acquity Oligo BEH C18_100,AD0254,0,25T,26486,19.27,2184,95.2,12.329759,1.907698,41110.72168,1.136531,187758.5836,1.586667,0.217546,0.73066,0.125929
Acquity Oligo BEH C18_100,AD0254,0,30T,24975,18.17,2158,88.6,9.717118,2.083584,56851.29458,1.140549,227930.6697,1.476667,0.215056,0.701296,0.124635
Acquity Oligo BEH C18_100,AD0254,0,35T,24370,17.73,2170,90.2,7.855302,1.973387,70218.24882,1.085042,260931.8153,1.503333,0.214199,0.685782,0.122916
Acquity Oligo BEH C18_100,AD0160,0,15T,16317,65.47,1373,63.2,,3.606446,14189.16241,2.881564,76877.62505,1.053333,0.238454,0.573372,0.138052
Acquity Oligo BEH C18_100,AD0160,0,20T,5249,21.06,384,57,15.97844,4.894527,11756.06722,3.775698,99424.18544,0.95,0.260221,0.743131,0.15412
Acquity Oligo BEH C18_100,AD0160,0,25T,1552,6.23,145,29.8,11.259687,2.569139,51588.35797,1.854738,135705.7662,0.496667,0.254181,0.404535,0.140332
Acquity Oligo BEH C18_100,AD0160,0,30T,1035,4.15,104,31,9.382761,2.378335,69800.47548,1.592986,215733.054,0.516667,0.220786,0.382127,0.129425
Acquity Oligo BEH C18_100,AD0160,0,35T,771,3.09,82,29.8,8.901049,3.187935,87936.63095,2.727015,356930.7364,0.496667,0.183701,0.394225,0.109833
Acquity Oligo BEH C18_100,AD0160,0,15T,9404,73.49,870,56.8,,3.229105,18575.94652,2.615902,87435.5568,0.946667,0.21513,0.503067,0.123006
Acquity Oligo BEH C18_100,AD0160,0,20T,1806,14.11,170,37.8,17.364105,3.829907,20225.06218,2.708709,130948.9455,0.63,0.217289,0.478713,0.139413
Acquity Oligo BEH C18_100,AD0160,0,25T,756,5.91,69,32.8,12.686865,1.332829,49181.00217,1.309916,173302.4694,0.546667,0.215244,0.478375,0.127605
Acquity Oligo BEH C18_100,AD0160,0,30T,406,3.18,44,24,10.967685,2.136558,99955.76059,1.516278,317588.662,0.4,0.174158,0.282156,0.131955
Acquity Oligo BEH C18_100,AD0160,0,35T,424,3.31,40,25,12.72847,3.517887,58679.79919,2.597005,1207752.28,0.416667,0.095555,0.390422,0.150361
Acquity Oligo BEH C18_100,AD0152,0,15T,19819,70.58,2188,47.2,,3.204074,19584.26677,2.70807,107061.6221,0.786667,0.187635,0.493158,0.110886
Acquity Oligo BEH C18_100,AD0152,0,20T,6895,24.55,626,44.4,18.10112,5.301461,11169.59765,3.423596,132795.7048,0.74,0.207756,0.544169,0.132675
Acquity Oligo BEH C18_100,AD0152,0,25T,1073,3.82,121,24,13.219847,3.465295,43181.99977,2.132457,211558.3091,0.4,0.18731,0.331617,0.121844
Acquity Oligo BEH C18_100,AD0152,0,30T,204,0.73,29,17,8.608075,2.071134,179919.512,1.969491,112388.6513,0.283333,0.281041,0.256838,0.099227
Acquity Oligo BEH C18_100,AD0152,0,35T,89,0.32,15,21.4,10.484888,10.510642,95145.50358,5.661304,11746233.72,0.356667,0.02939,0.156088,0.049672
Acquity Oligo BEH C18_100,AD0152,0,15T,24985,44.37,2959,55.4,,2.320809,37142.71965,2.007759,117461.6904,0.923333,0.180333,0.377885,0.103656
Acquity Oligo BEH C18_100,AD0152,0,20T,14837,26.35,1724,55.4,20.449129,2.663002,48230.91573,2.367357,192035.6889,0.923333,0.174117,0.416786,0.099925
Acquity Oligo BEH C18_100,AD0152,0,25T,8135,14.45,972,51.6,15.313432,2.511497,70923.91765,2.203436,251830.6897,0.86,0.173247,0.387892,0.099712
Acquity Oligo BEH C18_100,AD0152,0,30T,4654,8.26,620,37.8,11.895146,2.287447,108875.6129,1.932829,296397.8941,0.63,0.174905,0.324219,0.098216
Acquity Oligo BEH C18_100,AD0152,0,35T,3704,6.58,468,47.8,9.503803,2.370392,103239.0195,2.221861,324310.9786,0.796667,0.179022,0.398595,0.101961
Acquity Oligo BEH C18_100,AD0142,1,15T,202865,23.84,30254,52.4,,1.255377,147414.1792,1.166173,180465.9639,0.873333,0.171463,0.232221,0.09882
Acquity Oligo BEH C18_100,AD0142,1,20T,181531,21.33,26121,38.6,19.624044,1.419766,177572.2941,1.286804,240135.7126,0.643333,0.176512,0.247327,0.101543
Acquity Oligo BEH C18_100,AD0142,1,25T,167508,19.68,22429,47.8,13.626549,1.55462,181755.4165,1.403472,271067.4341,0.796667,0.185062,0.271786,0.106725
Acquity Oligo BEH C18_100,AD0142,1,30T,158554,18.63,20407,45.6,10.03178,1.610317,189012.3237,1.44748,292342.0181,0.76,0.192201,0.286204,0.111144
Acquity Oligo BEH C18_100,AD0142,1,35T,140492,16.51,18173,47.2,7.857205,1.682952,198739.0644,1.512167,325178.2682,0.786667,0.192849,0.294702,0.112034
Acquity Oligo BEH C18_100,AD0142,1,15T,194085,25.37,28722,54.4,,1.350209,140283.0848,1.249745,184743.1975,0.906667,0.169604,0.238479,0.097424
Acquity Oligo BEH C18_100,AD0142,1,20T,165218,21.6,23534,38.4,19.73464,1.482629,170819.0735,1.351481,240210.661,0.64,0.17662,0.252833,0.101711
Acquity Oligo BEH C18_100,AD0142,1,25T,148317,19.39,19559,49.6,13.557831,1.615986,175224.3856,1.459062,270239.9811,0.826667,0.185402,0.276566,0.107316
Acquity Oligo BEH C18_100,AD0142,1,30T,136294,17.82,17568,44.8,10.095268,1.681161,183988.8937,1.500405,295594.0182,0.746667,0.19126,0.287975,0.110873
Acquity Oligo BEH C18_100,AD0142,1,35T,121119,15.83,15606,45.6,7.866412,1.742042,191848.7884,1.556331,326447.2423,0.76,0.192567,0.298376,0.112108
Acquity Oligo BEH C18_100,AD0077,1,15T,212983,23.42,29507,32.6,,1.181292,131827.2688,1.112363,159327.1286,0.543333,0.190844,0.252352,0.108183
Acquity Oligo BEH C18_100,AD0077,1,20T,207113,22.77,28906,40,18.267523,1.350151,173349.8394,1.232526,232710.6798,0.666667,0.182278,0.257972,0.104608
Acquity Oligo BEH C18_100,AD0077,1,25T,182535,20.07,25006,33.8,12.724991,1.417869,196685.746,1.276663,273644.2525,0.563333,0.18601,0.264659,0.10671
Acquity Oligo BEH C18_100,AD0077,1,30T,165769,18.22,21468,41.2,9.432236,1.507968,197328.5869,1.362343,295327.3522,0.686667,0.19218,0.284478,0.110836
Acquity Oligo BEH C18_100,AD0077,1,35T,141172,15.52,18241,42,7.215645,1.605413,200042.4108,1.43881,316750.2471,0.7,0.195508,0.293748,0.113353
Acquity Oligo BEH C18_100,AD0077,1,15T,205516,27.34,30572,43,,1.217223,152132.285,1.145127,189013.6095,0.716667,0.172418,0.238359,0.098901
Acquity Oligo BEH C18_100,AD0077,1,20T,176909,23.54,24960,37,18.594407,1.340373,177934.2614,1.238347,239891.6567,0.616667,0.179789,0.256944,0.102998
Acquity Oligo BEH C18_100,AD0077,1,25T,135225,17.99,18349,32.6,12.748611,1.401045,194708.9054,1.276065,271588.66,0.543333,0.186913,0.268442,0.107607
Acquity Oligo BEH C18_100,AD0077,1,30T,122087,16.24,15939,39.6,9.477677,1.512546,199172.5886,1.375155,301730.4969,0.66,0.19035,0.28483,0.109968
Acquity Oligo BEH C18_100,AD0077,1,35T,111932,14.89,14475,41.2,7.271882,1.6119,200972.6146,1.444572,323137.1388,0.686667,0.193764,0.29473,0.112289
